slice_idx,asset,close,volume
0,AAPL,191.20,420000
0,MSFT,414.80,260000
0,NVDA,903.50,310000
0,AMZN,182.40,370000
1,AAPL,191.34,360000
1,MSFT,414.55,245000
1,NVDA,905.10,285000
1,AMZN,182.15,340000
2,AAPL,191.10,390000
2,MSFT,414.20,255000
2,NVDA,902.40,295000
2,AMZN,181.90,350000
3,AAPL,190.88,410000
3,MSFT,413.92,275000
3,NVDA,899.80,330000
3,AMZN,181.30,390000
4,AAPL,191.05,430000
4,MSFT,414.30,280000
4,NVDA,901.20,325000
4,AMZN,181.85,365000
5,AAPL,191.42,450000
5,MSFT,415.05,295000
5,NVDA,907.50,360000
5,AMZN,182.95,420000
6,AAPL,191.70,470000
6,MSFT,415.90,305000
6,NVDA,911.40,380000
6,AMZN,183.60,435000
7,AAPL,191.55,440000
7,MSFT,415.45,292000
7,NVDA,909.20,350000
7,AMZN,183.10,410000
8,AAPL,191.26,425000
8,MSFT,414.88,285000
8,NVDA,906.60,340000
8,AMZN,182.70,395000
9,AAPL,191.08,405000
9,MSFT,414.20,278000
9,NVDA,904.10,335000
9,AMZN,182.30,382000
10,AAPL,191.36,390000
10,MSFT,414.62,270000
10,NVDA,906.90,320000
10,AMZN,182.86,368000
11,AAPL,191.52,375000
11,MSFT,414.95,265000
11,NVDA,908.20,310000
11,AMZN,183.05,355000
